Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
CFP,,CFP,NM_002621.2:380,Immune Response,,I,,Innate immune response,PFC
CHIT1,,CHIT1,NM_003465.2:410,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","CHIT, CHI3"
CHUK,,IKK-alpha,NM_001278.3:860,Immune Response,,I,,Innate immune response,"TCF16, IKK1, IKK-alpha, IkBKA, NFKBIKA, IKKA"
CKLF,,C32,NM_181640.2:275,Immune Response,,F,Chemokines,"Chemokines and receptors, Inflammatory response","CKLF1, UCK-1, CKLF3, CKLF4, HSPC224, C32"
CLEC4A,,DCIR,NM_194448.2:388,Immune Response,,I,,Innate immune response,"CLECSF6, DCIR, DDB27"
CLEC4C,CD303,CLEC4C,NM_203503.1:570,Immune Response,,I,,"CD molecules, Innate immune response","CLECSF11, CLECSF7, HECL, DLEC, BDCA2, CD303"
CLEC5A,,MDL-1,NM_013252.2:615,Immune Response,,I,,Innate immune response,"CLECSF5, MDL-1"
CLEC6A,,dectin-2,NM_001007033.1:342,Immune Response,,I,,Innate immune response,"CLECSF10, dectin-2"
CLEC7A,,dectin-1,NM_197954.2:55,Immune Response,,I,,Innate immune response,"CLECSF12, dectin-1, hDectin-1"
CLU,,CLU,NM_001831.2:2340,Immune Response,,I,,Innate immune response,"CLI, APOJ, SGP-2, SP-40, TRPM-2, KUB1, CLU1, CLU2"
CMA1,,CMA1,NM_001836.2:561,Immune Response - Cell Type specific,,F,Regulation,"Cell Type specific, Regulation of inflammatory response",
CMKLR1,,CMKLR1,NM_004072.1:770,Immune Response,,,Chemokines,Chemokines and receptors,RVER1
CNOT10,,CNOT10,NM_001256741.1:1962,HK,,,,,"FLJ12890, FLJ13165"
CNOT4,,CNOT4,NM_001190848.1:795,HK,,,,,"NOT4, CLONE243, NOT4H"
COG7,,COG7,NM_153603.3:1492,HK,,,,,
COL3A1,,COL3A1,NM_000090.3:180,Immune Response,,,Regulation,Negative regulation of immune response,EDS4A
COLEC12,,COLEC12,NM_130386.2:900,Immune Response,,I,,Innate immune response,"SRCL, CL-P1, SCARA4"
CR1,CD35,CD35,NM_000651.4:1695,Immune Response,,I,,"CD molecules, Innate immune response","CD35, KN"
CR2,CD21,CD21,NM_001006658.1:485,Immune Response - Cell Type specific,,I,B-Cell Functions,"B-cell activation, Cell Type specific, CD molecules, Innate immune response",CD21
CREB1,,CREB1,NM_004379.3:4855,Immune Response,,I,,Innate immune response,
CREB5,,CREB5,NM_182898.2:1885,Immune Response,,F,,"Complement pathway, Inflammatory response","H_GS165L15.1, CRE-BPA"
CREBBP,,CBP,NM_004380.2:8855,Immune Response,,I,,Innate immune response,"RSTS, RTS, CBP, KAT3A"
CRP,,CRP,NM_000567.2:1521,Immune Response,,F;H;I,Transporter Functions,"Acute-phase response, Humoral immune response, Inflammatory response, Innate immune response, Receptors involved in phagocytosis",PTX1
CSF1,,M-CSF,NM_000757.4:823,Immune Response,,I,,Innate immune response,"M-CSF, MCSF, MGC31930"
CSF1R,CD115,CSF1R,NM_005211.2:3775,Immune Response,,I,,"CD molecules, Innate immune response","FMS, C-FMS, CSFR, CD115"
CSF2,,GM-CSF,NM_000758.2:475,Immune Response - Cell Type specific,,,"Cytokines, Macrophage Functions, Regulation","Cell Type specific, Cytokines and receptors, Positive regulation of macrophages","GM-CSF, GMCSF"
CSF2RB,CD131,CSF2RB,NM_000395.2:3300,Immune Response,,A,Chemokines,"CD molecules, Chemokines and receptors, Adaptive immune response","IL3RB, IL5RB, CD131"
CSF3,,G-CSF,NM_000759.3:851,Immune Response,,,Cell Functions,Basic cell functions,"GCSF, G-CSF, C17orf33, MGC45931"
CSF3R,CD114,CSF3R,NM_156038.2:90,Immune Response - Cell Type specific,Neutrophils,,Cytokines,"Cell Type specific, CD molecules, Cytokines and receptors","CD114, GCSFR"
CT45A1,,CT45A1,NM_001017417.1:866,CT Antigen,,,,,"CT45-1, CT45.1"
CTAG1B,,CTAG1B,NM_001327.2:285,CT Antigen,,,,,"CTAG, CTAG1, NY-ESO-1, LAGE2B, LAGE2A, ESO1, CT6.1"
CTAGE1,,CTAGE1,NM_172241.2:3365,CT Antigen,,,,,"cTAGE-1, cTAGE-2, CTAGE, CT21.1, CT21.2"
CTCFL,,CTCFL,NM_001269042.1:1100,CT Antigen,,,,,"dJ579F20.2, BORIS, CT27"
CTLA4,CD152,CD152,NM_005214.3:405,Immune Response - Cell Type specific / Checkpoint,,A,"B-Cell Functions, T-Cell Functions","Adaptive immune response, B-cell receptor signaling pathway, Cell Type specific, CD molecules, T-cell receptor signaling pathway","CELIAC3, IDDM12, CD152, CD, GSE, CD28, ICOS"
CTSG,,CTSG,NM_001911.2:160,Immune Response - Cell Type specific,,,"Pathogen Defense, Regulation","Cell Type specific, Defense response to fungus, Positive regulation of immune response",CG
CTSH,,CTSH,NM_004390.3:344,Immune Response,,A,,Adaptive immune response,"CPSB, ACC-4, ACC-5"
CTSL,,CTSL,NM_001912.4:1072,Immune Response,,A,,Adaptive immune response,"CTSL1, FLJ31037"
CTSS,,CTSS,NM_004079.3:685,Immune Response,,A,,Adaptive immune response,
CTSW,,CTSW,NM_001335.3:1075,Immune Response,Cytotoxic cells,,Transporter Functions,"CD molecules, Phagocytosis",
CX3CL1,,CX3CL1,NM_002996.3:140,Immune Response,,A,"Chemokines, Leukocyte Functions","Adaptive immune response, Leukocyte activation, Chemokines and receptors, Th1 orientation","SCYD1, NTN, C3Xkine, ABCD-3, CXC3C, CXC3, fractalkine, neurotactin"
CX3CR1,,CX3CR1,NM_001337.3:1040,Immune Response,,A,"Chemokines, Microglial Functions","Adaptive immune response, Chemokines and receptors, Microglial cell activation","GPR13, CMKBRL1, CMKDR1, V28, CCRL1"
CXCL1,,CXCL1,NM_001511.1:742,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","MGSA, GRO1, FSP, SCYB1, GROa, MGSA-a, NAP-3"
CXCL10,,CXCL10,NM_001565.1:40,Immune Response,,A;F;I,"Chemokines, Cytokines, Pathogen Defense, Regulation, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Cytokines and receptors, Defense response to virus, Innate immune response, Regulation of inflammatory response, Th1 orientation","INP10, SCYB10, IFI10, IP-10, crg-2, mob-1, C7, gIP-10"
CXCL11,,CXCL11,NM_005409.4:282,Immune Response,,A,"Chemokines, NK Cell Functions, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Th1 orientation","SCYB9B, SCYB11, H174, b-R1, I-TAC, IP-9"
CXCL12,,CXCL12,NM_000609.5:210,Immune Response,,,Chemokines,Chemokines and receptors,"SDF1A, SDF1B, SDF1, SCYB12, SDF-1a, SDF-1b, PBSF, TLSF-a, TLSF-b, TPAR1"
CXCL13,,CXCL13,NM_006419.2:210,Immune Response - Cell Type specific,,A;F;H,Chemokines,"Adaptive immune response, Cell Type specific, Chronic inflammatory response, Humoral immune response, Chemokines and receptors","SCYB13, BLC, BCA-1, BLR1L, ANGIE, ANGIE2"
CXCL14,,CXCL14,NM_004887.4:1125,Immune Response,,A;F,Chemokines,"Adaptive immune response, Chemokines and receptors, Inflammatory response","SCYB14, BRAK, NJAC, bolekine, Kec, MIP-2g, BMAC, KS1"
CXCL16,,CXCL16,NM_001100812.1:850,Immune Response,,A,Chemokines,"Adaptive immune response, Chemokines and receptors","SR-PSOX, CXCLG16, SRPSOX"
CXCL2,,CXCL2,NM_002089.3:854,Immune Response,,F,"Chemokines, Regulation","Regulation of inflammatory response, Chemokines and receptors","GRO2, SCYB2, GROb, MIP-2a, MGSA-b, CINC-2a"
CXCL3,,CXCL3,NM_002090.2:540,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","GRO3, SCYB3, GROg, MIP-2b, CINC-2b"
CXCL5,,CXCL5,NM_002994.3:250,Immune Response - Cell Type specific,,,Chemokines,"Cell Type specific, Chemokines and receptors","SCYB5, ENA-78"
CXCL6,,CXCL6,NM_002993.3:539,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYB6, GCP-2, CKA-3"
CXCL9,,MIG,NM_002416.1:1975,Immune Response,,A;F,"Chemokines, Regulation, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Regulation of inflammatory response, Th1 orientation","CMK, MIG, SCYB9, Humig, crg-10"
CXCR1,CD181,IL8RA,NM_000634.2:1950,Immune Response,,F,"Chemokines, Regulation","CD molecules, Chemokines and receptors, Regulation of inflammatory response","CMKAR1, IL8RA, CKR-1, CDw128a, CD181"
CXCR2,CD182,IL8RB,NM_001557.2:2055,Immune Response,,F,"Chemokines, Regulation","CD molecules, Chemokines and receptors, Regulation of inflammatory response","IL8RB, CMKAR2, CD182"
CXCR3,CD183,CXCR3,NM_001504.1:80,Immune Response,,A,"Chemokines, NK Cell Functions, T-Cell Functions","Adaptive immune response, CD molecules, Chemokines and receptors, T-cell polarization","GPR9, CKR-L2, CMKAR3, IP10-R, MigR, CD183"
CXCR4,CD184,CXCR4,NM_003467.2:1335,Immune Response,,A,"Cell Cycle, Cell Functions, Chemokines, Regulation","Adaptive immune response, CD molecules, Chemokines and receptors, Co-Regulators of autophagy and apoptosis/cell cycle, T-cell polarization","LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184"
CXCR5,CD185,CXCR5,NM_001716.3:2618,Immune Response,,A,"B-Cell Functions, Chemokines, T-Cell Functions","Adaptive immune response, B-cell activation, CD molecules, Chemokines and receptors","BLR1, MDR15, CD185"
CXCR6,CD186,CXCR6,NM_006564.1:95,Immune Response - Cell Type specific,,,Chemokines,"Cell Type specific, CD molecules, Chemokines and receptors","TYMSTR, STRL33, BONZO, CD186"
CYBB,,CYBB,NM_000397.3:2686,Immune Response,,I,,Innate immune response,"CGD, GP91-PHOX, NOX2"
CYFIP2,,CYFIP2,NM_001037332.2:4043,Immune Response,,I,,Innate immune response,PIR121
CYLD,,CYLD,NM_015247.1:2890,Immune Response,,I,,Innate immune response,"CYLD1, KIAA0849, USPL2"
DDX43,,HAGE,NM_018665.2:1255,CT Antigen,,,,,"HAGE, DKFZp434H2114, CT13"
DDX50,,DDX50,NM_024045.1:1185,HK,,,,,"GU2, MGC3199, GUB, RH-II/GuB"
DDX58,,RIG-I,NM_014314.3:2130,Immune Response,,I,,Innate immune response,"RIG-I, FLJ13599, DKFZp434J1111"
DEFB1,,DEFB1,NM_005218.3:40,Immune Response,,I,,Innate immune response,"HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822"
DHX16,,DBP2,NM_001164239.1:2490,HK,,,,,"DDX16, DBP2, Prp2, PRPF2"
DMBT1,,DMBT1,NM_007329.2:3712,Immune Response,,I,,Innate immune response,"GP340, muclin"
DNAJC14,,DNAJ,NM_032364.5:1166,HK,,,,,"DNAJ, DRIP78, HDJ3, LIP6, FLJ32792"
DOCK9,,DOCK9,NM_001130048.1:1020,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","KIAA1058, ZIZ1"
DPP4,CD26,CD26,NM_001935.3:2700,Immune Response,,,"Macrophage Functions, Regulation, T-Cell Functions","CD molecules, Regulators of T-cell activation","CD26, ADCP2, DPPIV"
DUSP4,,DUSP4,NM_057158.2:3115,Immune Response,,I,,Innate immune response,"HVH2, MKP-2, TYP"
DUSP6,,DUSP6,NM_001946.2:1535,Immune Response,,I,,Innate immune response,"MKP-3, PYST1"
EBI3,,EBI3,NM_005755.2:485,Immune Response - Cell Type specific,,H,Cytokines,"Cell Type specific, Cytokines and receptors, Humoral immune response",
ECSIT,,ECSIT,NM_001142464.2:1318,Immune Response,,I,,Innate immune response,SITPEC
EDC3,,EDC3,NM_001142443.1:925,HK,,,,,"YJDC, LSM16, FLJ21128, hYjeF_N2-15q23, YJEFN2"
EGR1,,EGR1,NM_001964.2:1505,Immune Response,,,"Senescence, T-Cell Functions","T-cell differentiation, Senescence initiators interferon related","TIS8, G0S30, NGFI-A, KROX-24, ZIF-268, AT225, ZNF225"
EGR2,,EGR2,NM_000399.3:1891,Immune Response,,,Regulation,Transcriptional regulators,KROX20
EIF2B4,,EIF-2B,NM_172195.3:1390,HK,,,,,"EIF2Bdelta, EIF-2B, DKFZP586J0119, EIF2B"
ELANE,,ELA2,NM_001972.2:195,Immune Response,,,Regulation,Positive regulation of immune response,"ELA2, NE, HNE, HLE"
ELK1,,ELK1,NM_005229.3:2350,Immune Response,,I,,Innate immune response,
ENG,CD105,ENG,NM_001114753.1:1480,Immune Response,,,,CD molecules,"ORW1, ORW, END, HHT1, CD105"
ENTPD1,CD39,CD39,NM_001098175.1:8830,Immune Response,,A,,"Adaptive immune response, CD molecules","CD39, NTPDase-1, ATPDase, SPG64"
EOMES,,EOMES,NM_005442.2:1670,Immune Response,Exhausted CD8,,T-Cell Functions,"CD8-positive, T-cell differentiation",TBR2
EP300,,p300,NM_001429.2:715,Immune Response,,I,,Innate immune response,"p300, KAT3B"
EPCAM,CD326,EPCAM,NM_002354.1:415,Immune Response,,,"Adhesion, Cell Functions","Adhesion, Basic cell functions, CD molecules","M4S1, MIC18, TACSTD1, Ly74, TROP1, GA733-2, EGP34, EGP40, EGP-2, KSA, CD326, Ep-CAM, HEA125, KS1/4, MK-1, MH99, MOC31, 323/A3, 17-1A, TACST-1, CO-17A, ESA"
ERCC3,,XPB,NM_000122.1:1950,HK,,,,,"XPB, BTF2, RAD25, TFIIH, GTF2H"
ETS1,,ETS-1,NM_005238.3:4625,Immune Response,,,Senescence,Senescence pathway,"EWSR2, FLJ10768, ETS-1"
EWSR1,,EWS,NM_013986.3:452,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",EWS
F12,,F12,NM_000505.3:1862,Immune Response,,I,,Innate immune response,
F13A1,,F13A1,NM_000129.3:3196,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",F13A
F2RL1,,PAR2,NM_005242.3:940,Immune Response,,,"Macrophage Functions, T-Cell Functions",T-cell activation,"GPR11, PAR2"
FADD,,FADD,NM_003824.2:1560,Immune Response,,I,,Innate immune response,"MORT1, GIG3"
FAS,CD95,FAS,NM_000043.3:90,Immune Response,,,"B-Cell Functions, Regulation, T-Cell Functions, TNF Superfamily, Transporter Functions","B-cell activation, CD molecules, Co-Regulators of autophagy and apoptosis/cell cycle, Receptors involved in phagocytosis, T-cell regulators, TNF superfamily members and their receptors","FAS1, APT1, TNFRSF6, CD95, APO-1"
FCER1A,,FCER1A,NM_002001.2:114,Immune Response,,F,,Inflammatory response,FCE1A
FCER1G,,FCER1G,NM_004106.1:36,Immune Response,,,Regulation,Positive regulation of immune response,
FCER2,CD23,CD23,NM_002002.4:420,Immune Response,,A;F,,"Adaptive immune response, CD molecules, Inflammatory response","CD23A, FCE2, CLEC4J, CD23"
FCF1,,Bka,NM_015962.4:1022,HK,,,,,"C14orf111, CGI-35, Bka, UTP24"
FCGR1A,CD64,CD64,NM_000566.3:1545,Immune Response,,I,,"CD molecules, Innate immune response","CD64, CD64A"
FCGR2A,CD32,CD32,NM_021642.3:60,Immune Response,,,Transporter Functions,"CD molecules, Receptors involved in phagocytosis","FCG2, FCGR2A1, FCGR2, CD32, CD32A, IGFR2, CDw32"
FCGR2B,CD32,CD32,NM_001002273.1:870,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","FCG2, FCGR2, CD32, CD32B"
FCGR3A,CD16,CD16,NM_000569.6:1644,Immune Response,Neutrophils,,Regulation,"CD molecules, Regulation of immune response","FCGR3, FCG3, CD16, CD16a"
FEZ1,,FEZ1,NM_005103.4:426,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",
FLT3,CD135,FLT3,NM_004119.1:580,Immune Response,,,,CD molecules,"STK1, FLK2, CD135"
FLT3LG,,FLT3LG,NM_001459.3:360,Immune Response - Cell Type specific,,,Cytokines,"Cell Type specific, Cytokines and receptors",
FN1,,FN1,NM_212482.1:1776,Immune Response,,,Senescence,Senescence pathway,"MSF, CIG, LETS, GFND2, FINC"
FOS,,c-fos,NM_005252.2:1475,Immune Response,,I,,Innate immune response,"c-fos, AP-1"
FOXJ1,,FOXJ1,NM_001454.3:815,Immune Response - Cell Type specific,,H,,"Cell Type specific, Humoral immune response","FKHL13, HFH-4, HFH4"
FOXP3,,FOXP3,NM_014009.3:1230,Immune Response - Cell Type specific,Treg,F,"Cytokines, T-Cell Functions","Cell Type specific, Cytokines and receptors, T-cell mediated immunity, Chronic inflammatory response","IPEX, JM2, XPID, AIID, PIDX, DIETER, SCURFIN"
FPR2,,FPR2,NM_001462.3:1200,Immune Response - Cell Type specific,,F,,"Cell Type specific, Inflammatory response","FPRL1, LXA4R, HM63, FPRH2, FMLPX, FPR2A, FMLP-R-II, ALXR"
FUT5,,FUT5,NM_002034.2:1726,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",FUC-TV
FUT7,,FUT7,NM_004479.3:1710,Immune Response,,,Leukocyte Functions,Leukocyte migration,
FYN,,FYN,NM_002037.3:765,Immune Response,,,Transporter Functions,Phagyocytosis signal transduction,"SYN, SLK, MGC45350"
G6PD,,G6PD,NM_000402.2:1155,HK,,,,,G6PD1
GAGE1,,GAGE1,NM_001040663.2:1642,CT Antigen,,,,,CT4.1
GATA3,,GATA3,NM_001002295.1:2835,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",HDR
GNLY,,GNLY,NM_006433.2:305,Immune Response - Cell Type specific,Cytotoxic cells,A,"Cytotoxicity, Pathogen Defense","Adaptive immune response, Cell Type specific, Cytotoxicity, Defense response to bacterium, Defense response to fungus","LAG2, NKG5, LAG-2, D2S69E, TLA519"
GPATCH3,,GPATCH3,NM_022078.2:1685,HK,,,,,"GPATC3, FLJ12455"
GPI,,GPI,NM_000175.2:1695,Immune Response,,H,,Humoral immune response,"AMF, NLK"
GTF3C1,,GTF3C1,NM_001520.3:2904,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",TFIIIC220
GUSB,,GUSB,NM_000181.1:1350,HK,,,,,
GZMA,,GZMA,NM_006144.2:155,Immune Response - Cell Type specific,Cytotoxic cells,A,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","HFSP, CTLA3"
GZMB,,GZMB,NM_004131.3:540,Immune Response - Cell Type specific,Cytotoxic cells,A,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","CTLA1, CSPB, CCPI, CGL-1, CSP-B, CGL1, CTSGL1, HLP, SECT"
GZMH,,GZMH,NM_033423.3:705,Immune Response - Cell Type specific,Cytotoxic cells,A,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","CTSGL2, CGL-2, CCP-X, CTLA1, CSP-C"
GZMK,,GZMK,NM_002104.2:700,Immune Response,,A;I,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cytotoxicity, Innate immune response","TRYP2, PRSS"
GZMM,,MET1,NM_005317.2:669,Immune Response - Cell Type specific,,A;I,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity, Innate immune response","MET1, LMET1"
HAMP,,HAMP,NM_021175.2:99,Immune Response,,I,,Innate immune response,"LEAP-1, HEPC, HFE2B, LEAP1"
HAVCR2,,HAVCR2,NM_032782.3:955,Immune Response - Checkpoint,,,Cell Functions,Basic cell functions,"Tim-3, TIM3, FLJ14428, TIMD3"
HCK,,HCK,NM_002110.2:260,Immune Response,,I,Leukocyte Functions,"Innate immune response, Leukocyte migration",JTK9
HDAC3,,HDAC3,NM_003883.2:1455,HK,,,,,"RPD3, HD3, RPD3-2"
HLA-A,,HLA-A,NM_002116.5:1000,Immune Response,,A,"Antigen Processing, Cytotoxicity, Regulation","Adaptive immune response, Antigen processing and presentation, Cytotoxicity, Regulation of immune response",
HLA-B,,HLA-B,NM_005514.6:937,Immune Response,,A,"Antigen Processing, Cytotoxicity, Regulation","Adaptive immune response, Antigen processing and presentation, Cytotoxicity, Regulation of immune response",AS
HLA-C,,HLA-C,NM_002117.4:895,Immune Response,,A,"Antigen Processing, Cytotoxicity, Regulation","Adaptive immune response, Antigen processing and presentation, Cytotoxicity, Regulation of immune response","HLA-JY3, D6S204, PSORS1"
HLA-DMA,,HLA-DMA,NM_006120.3:380,Immune Response,,A,"Antigen Processing, Regulation","Adaptive immune response, Antigen processing and presentation, Positive regulation of immune response","D6S222E, RING6"
HLA-DMB,,HLA-DMB,NM_002118.3:20,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","D6S221E, RING7"
HLA-DOB,,HLA-DOB,NM_002120.3:230,Immune Response - Cell Type specific,,A,"Antigen Processing, Cytokines","Adaptive immune response, Antigen processing and presentation, Cell Type specific, Cytokines and receptors",
HLA-DPA1,,HLA-DPA1,NM_033554.2:857,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation",HLA-DP1A
HLA-DPB1,,HLA-DPB1,NM_002121.4:931,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation",HLA-DP1B
HLA-DQA1,,HLA-DQA1,NM_002122.3:261,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","HLA-DQA, CELIAC1"
HLA-DQB1,,HLA-DQB1,NM_002123.3:384,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","HLA-DQB, IDDM1, CELIAC1"
HLA-DRA,,HLA-DRA,NM_019111.3:335,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation",HLA-DRA1
HLA-DRB3,,HLA-DRB3,NM_022555.3:698,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation",HLA-DR3B
HLA-DRB4,,HLA-DRB4,NM_021983.4:194,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","DR4, DR-4, DRB4, HLA-DR4B"
HLA-E,,HLA-E,NM_005516.4:1204,Immune Response,,,Regulation,Regulation of immune response,
HLA-G,,HLA-G,NM_002127.4:1180,Immune Response,,,Regulation,Regulation of immune response,
HMGB1,,HMGB1,NM_002128.4:208,Immune Response,,F;I,Regulation,"Inflammatory response to antigenic stimulus, Innate immune response","HMG1, HMG3, SBP-1, DKFZp686A04236"
HPRT1,,HPRT,NM_000194.1:240,HK,,,,,"HPRT, HGPRT"
HRAS,,HRAS,NM_005343.2:396,Immune Response,,,Senescence,Senescence pathway,HRAS1
HSD11B1,,HSD11B1,NM_181755.1:155,Immune Response - Cell Type specific,DC,,Cell Functions,"Basic cell functions, Cell Type specific","HSD11B, HSD11, SDR26C1"
ICAM1,CD54,ICAM1,NM_000201.2:2253,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","BB2, CD54"
ICAM2,CD102,ICAM2,NM_000873.3:415,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response",CD102
ICAM3,CD50,ICAM3,NM_002162.3:1225,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","CDW50, ICAM-R, CD50"
ICAM4,CD242,ICAM4,NM_001039132.1:463,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","LW, CD242"
ICOS,CD278,ICOS,NM_012092.2:640,Immune Response - Cell Type specific / Checkpoint,,A,Cell Functions,"Adaptive immune response, Basic cell functions, Cell Type specific, CD molecules","AILIM, CD278"
ICOSLG,CD275,ICOSL,NM_015259.4:1190,Immune Response,,A,"Cell Functions, Regulation","Adaptive immune response, B-cell activation, CD molecules, Regulators of T-cell activation, T-cell proliferation","ICOSL, KIAA0653, GL50, B7-H2, B7RP-1, B7H2, B7RP1, ICOS-L, CD275"
IDO1,,INDO,NM_002164.3:50,Immune Response - Cell Type specific,,F,"Cytokines, T-Cell Functions","Cell Type specific, Cytokines and receptors, Chronic inflammatory response, Th2 orientation, T-cell proliferation","IDO, INDO"
IFI16,,IFI16,NM_005531.1:2255,Immune Response,,,Chemokines,Chemokines and receptors,"IFNGIP1, PYHIN2"
IFI27,,P27,NM_005532.3:390,Immune Response,,,Chemokines,Chemokines and receptors,"P27, FAM14D"
IFI35,,IFI35,NM_005533.3:415,Immune Response,,,Chemokines,Chemokines and receptors,IFP35
IFIH1,,MDA5,NM_022168.2:185,Immune Response,,I,,Innate immune response,"MDA-5, Hlcd, MDA5, IDDM19"
IFIT1,,IFIT1,NM_001548.3:1440,Immune Response,,,Chemokines,Chemokines and receptors,"G10P1, IFI56, IFNAI1, GARG-16"
IFIT2,,IFIT2,NM_001547.4:1995,Immune Response,,,Chemokines,Chemokines and receptors,"IFI54, G10P2, IFI-54, ISG-54K, cig42, GARG-39"
IFITM1,CD225,IFITM1,NM_003641.3:482,Immune Response,,I,Regulation,"CD molecules, Innate immune response, Regulation of immune response","IFI17, 9-27, CD225"
IFITM2,,IFITM2,NM_006435.2:390,Immune Response,,I,,Innate immune response,1-8D
IFNA1,,IFN-ALPHA,NM_024013.1:585,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD"
IFNA17,,IFNA17,NM_021268.2:291,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","LEIF2C1, IFN-alphaI"
IFNA2,,IFNA2,NM_000605.3:611,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","IFNA, IFN-alphaA"
IFNA7,,IFNA7,NM_021057.2:215,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","IFNA-J, IFN-alphaJ"
IFNA8,,IFNA8,NM_002170.3:604,Immune Response,,I,Interleukins,"Innate immune response, Interleukins",IFN-alphaB
IFNAR1,,IFNAR1,NM_000629.2:3123,Immune Response,,,Pathogen Defense,Defense response to virus,"IFNAR, IFRC"
IFNAR2,,IFNABR,NM_000874.3:631,Immune Response,,,Chemokines,Chemokines and receptors,IFNABR
IFNB1,,IFNB,NM_002176.2:610,Immune Response,,A;H;I,,"Adaptive immune response, Humoral immune response, Innate immune response","IFNB, IFB, IFF"
IFNG,,IFNG,NM_000619.2:970,Immune Response - Cell Type specific,,A;H,"Cytokines, Interleukins, Leukocyte Functions, Macrophage Functions, NK Cell Functions, T-Cell Functions","Adaptive immune response, Cell Type specific, CD8-positive, Cytokines and receptors, Humoral immune response, Interleukins, Th1 orientation, T-cell differentiation",
IFNGR1,CD119,IFNGR1,NM_000416.1:1140,Immune Response,,I,Cell Functions,"Adaptive immune response, CD molecules, Innate immune response, Th1 orientation","IFNGR, CD119"
IFNL1,,IL29,NM_172140.1:233,Immune Response,,,"Cytokines, Interleukins","Cytokines and receptors, Interleukins","IL29, IL-29"
IFNL2,,IL28A,NM_172138.1:589,Immune Response,,,Chemokines,Chemokines and receptors,"IL28A, IL-28A"
IGF1R,CD221,IGF-1,NM_000875.2:455,Immune Response,,,Senescence,"CD molecules, Senescence initiators","JTK13, CD221, IGFIR, MGC18216, IGFR"
IGF2R,CD222,IGF2R,NM_000876.1:2605,Immune Response,,,,CD molecules,"CD222, MPRI, MPR1, CIMPR, M6P-R"
IGLL1,CD179B,IGLL1,NM_020070.2:188,Immune Response,,,,CD molecules,"IGLL, IGVPB, IGL5, 14.1, CD179B"
IKBKB,,IKK-beta,NM_001556.1:1995,Immune Response,,I,,Innate immune response,"IKK2, NFKBIKB, IKK-beta, IKKB"
IKBKE,,IKBKE,NM_014002.2:2470,Immune Response,,I,,Innate immune response,"IKKE, IKK-i, KIAA0151"
